tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,moonphase,daylight_hours,preciptype,uvindex,severerisk,conditions,description
24.7,17.8,21.1,24.7,17.8,21.1,17.2,79.4,0.0,0.0,0.0,33.8,12.2,107.2,1016.0,36.5,3.0,140.6,12.2,0.58,11.109722222222222,0,7,0,2,27
26.7,15.0,20.8,26.7,15.0,20.8,16.2,76.7,0.0,0.0,0.0,30.6,9.5,116.6,1016.4,9.1,3.3,149.0,12.9,0.61,11.114166666666666,0,7,0,0,3
26.2,16.0,20.7,26.2,16.0,20.7,15.5,74.4,0.0,0.0,0.0,32.8,11.2,112.5,1014.8,32.8,3.5,131.2,11.4,0.65,11.118611111111111,0,6,0,2,27
27.0,17.0,21.5,26.8,17.0,21.5,14.3,67.5,0.0,0.0,0.0,42.8,17.8,115.7,1014.5,13.4,4.4,161.5,14.0,0.68,11.123611111111112,0,7,0,0,3
29.0,18.0,22.9,29.0,18.0,22.9,17.1,72.5,0.0,0.0,0.0,28.8,10.6,123.7,1015.0,30.0,4.2,155.4,13.5,0.72,11.129166666666666,0,7,0,2,27
25.1,20.9,22.4,25.1,20.9,22.4,19.3,83.1,0.5,100.0,4.17,22.3,9.2,103.6,1014.7,69.6,3.8,59.6,5.0,0.75,11.134722222222223,1,4,0,4,22
26.9,19.0,22.9,27.3,19.0,22.9,17.6,73.7,0.2,100.0,4.17,24.8,11.3,96.5,1013.4,87.4,3.9,82.9,7.1,0.79,11.140833333333333,1,5,0,4,23
29.0,20.0,23.7,29.6,20.0,23.9,19.0,76.4,0.0,0.0,0.0,34.6,11.2,110.1,1012.1,50.7,4.2,139.9,12.1,0.82,11.147222222222222,0,7,0,2,27
28.1,19.9,23.6,27.8,19.9,23.6,16.7,68.3,0.0,0.0,0.0,28.4,11.0,115.8,1013.2,15.0,5.1,175.2,15.3,0.86,11.154166666666667,0,8,0,0,3
29.3,19.0,23.9,29.4,19.0,23.8,15.9,65.7,0.0,0.0,0.0,29.2,11.0,114.7,1013.9,29.5,5.1,168.9,14.4,0.9,11.161111111111111,0,7,0,2,27
