name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
hyderabad,1/1/2024,28,15.1,21.7,27.6,15.1,21.6,14,65,0,0,0,,0,0,25.6,13,112.2,1017.4,24,3.7,222.6,19.3,8,10,1/1/2024 6:46,1/1/2024 17:52,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,2/1/2024,26.9,15,21.1,27.3,15,21.1,15.3,71.6,0,0,0,,0,0,27.7,16.6,101.1,1016.5,39.5,3,223.7,19.2,8,10,1/2/2024 6:46,1/2/2024 17:53,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,3/1/2024,27,17,21.8,27.1,17,21.8,15,67.4,0,0,0,,0,0,34.6,19.4,114.7,1015.9,36.9,3.1,222.4,19.2,8,10,1/3/2024 6:46,1/3/2024 17:53,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,4/1/2024,27.9,17,22,27.6,17,22,15.5,69,0,0,0,,0,0,31.3,16.6,110.8,1015.9,32.3,3,226.5,19.6,8,10,1/4/2024 6:47,1/4/2024 17:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,5/1/2024,28,17,22,27.4,17,21.9,13.3,61.2,0,0,0,,0,0,32,14.8,120.5,1016,25.5,4,227.4,19.5,8,10,1/5/2024 6:47,1/5/2024 17:55,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,6/1/2024,28.8,16.5,22,28.1,16.5,21.9,13.4,60.9,0,0,0,,0,0,33.8,16.6,110.1,1016.6,29.9,4.2,225.4,19.4,8,10,1/6/2024 6:47,1/6/2024 17:55,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,7/1/2024,26.9,18,22,27.1,18,22,15.5,68.2,0,0,0,,0,0,34.2,18.4,99.8,1017.1,45.2,4,222.4,19.1,8,10,1/7/2024 6:48,1/7/2024 17:56,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,8/1/2024,27.8,18,22.4,27.2,18,22.3,14.5,63.9,0,0,0,,0,0,31,15.4,103.7,1017.8,51.8,4.2,224.7,19.4,8,10,1/8/2024 6:48,1/8/2024 17:56,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,9/1/2024,27.5,19,22.6,27.2,19,22.6,15.1,64.3,0,0,0,,0,0,37.1,15.1,109.8,1017.9,59.2,3.6,140.5,12,8,10,1/9/2024 6:48,1/9/2024 17:57,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
hyderabad,10/1/2024,28.7,18,23,28.3,18,22.9,15.1,63.9,0,0,0,,0,0,20.5,13,101.7,1017.4,76.4,3.7,187.9,16,7,10,1/10/2024 6:48,1/10/2024 17:58,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,43083099999,43128599999,VOHS,43128099999"
