name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
hyderabad,2021-01-01,24.7,17.8,21.1,24.7,17.8,21.1,17.2,79.4,0.0,0.0,0.0,0,0,0,33.8,12.2,107.2,1016.0,36.5,3.0,140.6,12.2,6,0.0,2021-01-01 06:46:27,2021-01-01 17:53:02,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,43128099999,VOHS,remote"
hyderabad,2021-01-02,26.7,15.0,20.8,26.7,15.0,20.8,16.2,76.7,0.0,0.0,0.0,0,0,0,30.6,9.5,116.6,1016.4,9.1,3.3,149.0,12.9,6,0.0,2021-01-02 06:46:47,2021-01-02 17:53:38,0.61,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-03,26.2,16.0,20.7,26.2,16.0,20.7,15.5,74.4,0.0,0.0,0.0,0,0,0,32.8,11.2,112.5,1014.8,32.8,3.5,131.2,11.4,5,0.0,2021-01-03 06:47:07,2021-01-03 17:54:14,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-04,27.0,17.0,21.5,26.8,17.0,21.5,14.3,67.5,0.0,0.0,0.0,0,0,0,42.8,17.8,115.7,1014.5,13.4,4.4,161.5,14.0,6,0.0,2021-01-04 06:47:25,2021-01-04 17:54:50,0.68,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-05,29.0,18.0,22.9,29.0,18.0,22.9,17.1,72.5,0.0,0.0,0.0,0,0,0,28.8,10.6,123.7,1015.0,30.0,4.2,155.4,13.5,6,0.0,2021-01-05 06:47:42,2021-01-05 17:55:27,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-06,25.1,20.9,22.4,25.1,20.9,22.4,19.3,83.1,0.5,100.0,4.17,rain,0,0,22.3,9.2,103.6,1014.7,69.6,3.8,59.6,5.0,3,0.0,2021-01-06 06:47:59,2021-01-06 17:56:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-07,26.9,19.0,22.9,27.3,19.0,22.9,17.6,73.7,0.2,100.0,4.17,rain,0,0,24.8,11.3,96.5,1013.4,87.4,3.9,82.9,7.1,4,0.0,2021-01-07 06:48:14,2021-01-07 17:56:41,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-08,29.0,20.0,23.7,29.6,20.0,23.9,19.0,76.4,0.0,0.0,0.0,0,0,0,34.6,11.2,110.1,1012.1,50.7,4.2,139.9,12.1,6,0.0,2021-01-08 06:48:28,2021-01-08 17:57:18,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-09,28.1,19.9,23.6,27.8,19.9,23.6,16.7,68.3,0.0,0.0,0.0,0,0,0,28.4,11.0,115.8,1013.2,15.0,5.1,175.2,15.3,7,0.0,2021-01-09 06:48:41,2021-01-09 17:57:56,0.86,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-10,29.3,19.0,23.9,29.4,19.0,23.8,15.9,65.7,0.0,0.0,0.0,0,0,0,29.2,11.0,114.7,1013.9,29.5,5.1,168.9,14.4,6,0.0,2021-01-10 06:48:53,2021-01-10 17:58:33,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-11,29.0,16.3,22.6,28.0,16.3,22.5,14.6,64.3,0.0,0.0,0.0,0,0,0,27.7,9.5,114.5,1015.1,41.1,5.1,102.4,8.8,4,0.0,2021-01-11 06:49:03,2021-01-11 17:59:10,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-12,30.1,18.0,23.6,29.7,18.0,23.6,16.1,66.0,0.0,0.0,0.0,0,0,0,29.2,12.8,91.8,1015.2,49.3,4.5,149.2,13.0,7,0.0,2021-01-12 06:49:13,2021-01-12 17:59:48,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,remote,43128099999"
hyderabad,2021-01-13,29.8,18.1,23.7,29.2,18.1,23.6,15.6,64.4,0.0,0.0,0.0,0,0,0,26.6,7.7,114.5,1014.8,42.3,4.9,157.8,13.5,6,0.0,2021-01-13 06:49:21,2021-01-13 18:00:25,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-14,29.9,18.0,23.8,29.5,18.0,23.7,16.1,66.0,0.0,0.0,0.0,0,0,0,28.1,11.2,109.5,1014.6,3.0,4.9,168.6,14.4,6,0.0,2021-01-14 06:49:28,2021-01-14 18:01:02,0.03,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-15,28.9,18.0,23.0,28.9,18.0,23.1,16.4,69.1,0.0,0.0,0.0,0,0,0,27.0,9.4,107.5,1013.6,13.0,4.1,161.4,13.9,6,0.0,2021-01-15 06:49:34,2021-01-15 18:01:39,0.07,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-16,29.3,18.0,23.1,29.0,18.0,23.1,16.6,69.8,0.0,0.0,0.0,0,0,0,22.3,9.4,113.3,1012.8,28.5,4.2,150.2,12.9,6,0.0,2021-01-16 06:49:39,2021-01-16 18:02:16,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-17,28.4,17.2,23.0,27.9,17.2,23.0,16.0,67.7,0.0,0.0,0.0,0,0,0,30.6,13.1,107.1,1014.0,18.9,4.9,165.1,14.2,6,0.0,2021-01-17 06:49:43,2021-01-17 18:02:53,0.13,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-18,28.3,18.0,22.9,29.2,18.0,23.0,16.4,68.4,0.0,0.0,0.0,0,0,0,29.9,9.4,125.7,1015.3,20.2,4.7,157.8,13.4,6,0.0,2021-01-18 06:49:45,2021-01-18 18:03:30,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-19,29.5,17.0,22.8,28.3,17.0,22.7,14.9,65.1,0.0,0.0,0.0,0,0,0,24.5,11.3,121.1,1014.8,13.0,4.9,173.1,15.0,7,0.0,2021-01-19 06:49:46,2021-01-19 18:04:06,0.19,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-20,31.1,15.3,23.0,29.9,15.3,22.7,13.9,62.0,0.0,0.0,0.0,0,0,0,24.8,9.2,122.1,1014.9,4.0,5.2,173.5,14.9,7,0.0,2021-01-20 06:49:46,2021-01-20 18:04:42,0.23,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-21,31.0,15.3,23.5,30.7,15.3,23.5,15.4,63.2,0.0,0.0,0.0,0,0,0,19.4,7.6,167.3,1014.1,6.1,5.2,165.8,14.2,6,0.0,2021-01-21 06:49:44,2021-01-21 18:05:18,0.25,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-22,30.0,17.3,24.1,30.0,17.3,24.2,17.4,68.5,0.0,0.0,0.0,0,0,0,22.7,7.9,106.2,1014.4,28.3,5.2,166.4,14.5,7,0.0,2021-01-22 06:49:42,2021-01-22 18:05:54,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-23,29.1,17.2,23.7,29.4,17.2,23.9,17.3,69.5,0.0,0.0,0.0,0,0,0,21.2,9.4,118.1,1014.2,22.0,5.4,158.3,13.7,6,0.0,2021-01-23 06:49:38,2021-01-23 18:06:29,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-24,30.6,18.0,24.1,30.7,18.0,24.2,17.3,68.5,0.0,0.0,0.0,0,0,0,21.2,9.4,138.7,1014.7,7.8,4.9,169.8,14.7,6,0.0,2021-01-24 06:49:33,2021-01-24 18:07:04,0.35,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-25,32.0,16.2,24.3,31.4,16.2,24.3,16.2,64.1,0.0,0.0,0.0,0,0,0,24.1,9.2,141.7,1015.1,4.2,5.3,174.1,15.1,7,0.0,2021-01-25 06:49:27,2021-01-25 18:07:38,0.39,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-26,31.5,17.2,24.5,31.0,17.2,24.4,16.6,64.9,0.0,0.0,0.0,0,0,0,24.5,11.0,147.0,1014.5,8.5,5.3,175.0,15.1,7,0.0,2021-01-26 06:49:19,2021-01-26 18:08:13,0.42,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-27,29.9,17.2,23.8,30.0,17.2,23.9,17.4,70.2,0.0,0.0,0.0,0,0,0,26.3,14.4,130.0,1014.7,20.2,5.3,165.8,14.4,6,0.0,2021-01-27 06:49:11,2021-01-27 18:08:46,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-28,29.0,18.0,23.2,29.2,18.0,23.3,17.3,71.8,0.0,0.0,0.0,0,0,0,28.1,12.8,128.3,1015.6,18.7,4.4,162.4,14.0,6,0.0,2021-01-28 06:49:01,2021-01-28 18:09:20,0.48,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-29,30.0,18.0,23.6,29.1,18.0,23.5,16.0,66.0,0.0,0.0,0.0,0,0,0,28.8,9.4,137.7,1015.9,17.9,4.9,158.7,13.8,6,0.0,2021-01-29 06:48:50,2021-01-29 18:09:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-30,29.5,17.2,23.6,28.7,17.2,23.5,16.8,69.4,0.0,0.0,0.0,0,0,0,23.0,9.4,130.5,1015.3,21.3,4.9,147.3,12.9,6,0.0,2021-01-30 06:48:37,2021-01-30 18:10:25,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-01-31,28.5,18.9,23.0,29.3,18.9,23.1,18.0,74.9,0.0,0.0,0.0,0,0,0,27.4,9.5,100.5,1016.3,34.4,4.3,139.7,12.2,6,0.0,2021-01-31 06:48:24,2021-01-31 18:10:57,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-01,27.0,19.0,22.6,27.4,19.0,22.6,17.3,73.8,0.0,0.0,0.0,0,0,0,29.5,10.1,98.3,1018.2,46.6,4.0,136.3,11.9,6,0.0,2021-02-01 06:48:09,2021-02-01 18:11:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
hyderabad,2021-02-02,28.0,15.3,21.6,27.4,15.3,21.5,14.2,66.7,0.0,0.0,0.0,0,0,0,27.0,12.6,105.4,1018.6,30.4,4.5,176.7,15.2,7,0.0,2021-02-02 06:47:53,2021-02-02 18:12:00,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-03,28.7,15.5,22.0,27.2,15.5,21.8,11.8,58.0,0.0,0.0,0.0,0,0,0,29.5,11.0,104.5,1018.0,15.0,5.1,180.3,15.7,7,0.0,2021-02-03 06:47:36,2021-02-03 18:12:30,0.7,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-04,28.3,15.2,21.9,27.1,15.2,21.7,10.9,52.9,0.0,0.0,0.0,0,0,0,30.2,14.2,118.5,1017.3,5.9,5.4,179.9,15.5,7,0.0,2021-02-04 06:47:18,2021-02-04 18:13:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-05,28.3,13.3,21.6,27.3,13.3,21.4,11.2,55.7,0.0,0.0,0.0,0,0,0,23.0,11.0,116.3,1016.0,2.0,5.4,175.5,15.1,7,0.0,2021-02-05 06:46:59,2021-02-05 18:13:30,0.77,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-06,29.4,15.3,22.7,28.3,15.3,22.4,12.4,55.6,0.0,0.0,0.0,0,0,0,23.4,9.7,107.8,1015.0,4.3,5.7,170.8,14.6,6,0.0,2021-02-06 06:46:39,2021-02-06 18:13:59,0.8,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-07,28.2,15.3,22.0,27.5,15.3,21.9,12.4,56.7,0.0,0.0,0.0,0,0,0,27.7,12.6,67.8,1016.6,4.9,5.5,163.0,14.1,6,0.0,2021-02-07 06:46:17,2021-02-07 18:14:27,0.84,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-08,28.7,15.6,21.5,27.6,15.6,21.4,10.8,54.1,0.0,0.0,0.0,0,0,0,29.2,9.4,84.9,1017.5,1.6,5.7,176.7,15.3,7,0.0,2021-02-08 06:45:55,2021-02-08 18:14:55,0.87,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-09,31.0,15.1,22.2,29.3,15.1,21.9,11.0,52.8,0.0,0.0,0.0,0,0,0,21.2,9.2,93.7,1016.2,3.9,5.6,165.3,14.4,6,0.0,2021-02-09 06:45:31,2021-02-09 18:15:23,0.91,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
hyderabad,2021-02-10,32.1,13.4,22.4,30.6,13.4,22.1,12.2,57.8,0.0,0.0,0.0,0,0,0,17.6,9.2,109.8,1014.1,0.1,5.3,184.1,15.9,7,0.0,2021-02-10 06:45:07,2021-02-10 18:15:49,0.95,Clear,Clear conditions throughout the day.,clear-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
hyderabad,2021-02-11,28.1,14.3,22.3,27.8,14.3,22.2,13.7,61.7,0.0,0.0,0.0,0,0,0,25.9,11.5,113.0,1012.7,24.3,5.5,166.0,14.3,6,0.0,2021-02-11 06:44:41,2021-02-11 18:16:16,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43128599999,VOHS,43128099999,remote"
hyderabad,2021-02-12,29.0,15.0,22.5,28.0,15.0,22.3,12.8,59.3,0.0,0.0,0.0,0,0,0,26.6,11.2,135.8,1013.7,31.0,5.4,173.7,14.9,7,0.0,2021-02-12 06:44:14,2021-02-12 18:16:41,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VOHY,F3069,VOHS,remote"
